Name,Age,Place,Season ,1-on-1 week,FIR?,FIR,INTERNATIONAL,NE,NW,SE,SW,Race_0,Race_1,Race_2,Race_3,Race_4,CORPORATE,OTHER,POLITICS,TRADES,TRADITIONAL
DeAnna Pappas,25,2,11,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
Jenni Croft,27,2,11,0.0,Yes,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Bettina Bell[2],27,3,11,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Sheena Stewart[3],23,4,11,0.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
Hillary Reisinger[4],27,5,11,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Kristy Katzmann[5],29,5,11,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
McCarten Delaney[6][7],26,7,11,0.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
"Estefania ""Stephy"" Leon",26,7,11,0.0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
Jade Beazley[8],24,9,11,0.0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
Lindsey Hawkins,25,10,11,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Sarah Newlon,23,10,11,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Solisa Shoop[9],25,10,11,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
Erin Gardner,25,13,11,0.0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
Mallory Simons,24,13,11,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Michele Leavy[10],30,13,11,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Jessica Kiss,27,16,11,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
"Julia ""Juli"" Gilliam",24,16,11,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
"Kimberly ""Kim"" Orville",31,16,11,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Lori Langley[11],33,16,11,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Melissa Buschel[12],28,16,11,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Morgan Becker,24,16,11,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
Natalie Velasco,25,16,11,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
Regina Doringa,31,16,11,0.0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
Tauni Nessler [11],31,16,11,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Susan Coolidge,35,16,11,0.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
Shayne Lamas[2],22,1,12,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
Chelsea Wanstrath[2],25,2,12,0.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
Amanda Rantuccio[2],27,3,12,0.0,Yes,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
Noelle Drake[3],26,4,12,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
Marshana Ritchie[4],27,5,12,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
Robin Canfield[4],22,6,12,0.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
Ashlee Williss[5],22,6,12,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
Kelly Hark,25,6,12,0.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
Holly Durst[6][7],24,9,12,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
Amy Bean,22,10,12,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
Erin Storm,33,10,12,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
Kristine Heffelfinger[8],33,12,12,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
"Caroline ""Carri"" Perrier[9][10]",25,13,12,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
Erin Harper[11][12],25,13,12,0.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
Michelle Procopio,28,15,12,0.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
Alyssa Gill,24,16,12,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
Amanda Petterman[13],26,16,12,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
Denise Hawthorne,30,16,12,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Devon Antin,24,16,12,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
Lesley Geyer[14],23,16,12,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
Michele Romero,33,16,12,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
Rebecca LeBlanc,30,16,12,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
Stacey Elza[15],26,16,12,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
Tamara Sketz,23,16,12,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
Tiffany Thornburg,33,16,12,0.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
Melissa Rycroft[7],25,1,13,1.0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
Molly Malaney[8],24,2,13,3.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
Jillian Harris,29,3,13,1.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Naomi Crespo[9],24,4,13,4.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
Stephanie Hogan[10],34,5,13,2.0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
Lauren Wanger,27,6,13,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
